product_id,product_name,product_old_image,candidate_rank,candidate_file,score
8,"Veste Cuir Noir Premium",/Assets/Images/products/product_8_nynne_schroder_li9nxkipbb0_unsplash.jpg,1,nynne-schroder-li9nxKIPbb0-unsplash.jpg,23.19
8,"Veste Cuir Noir Premium",/Assets/Images/products/product_8_nynne_schroder_li9nxkipbb0_unsplash.jpg,2,anna-evans-eELIrBJXBPk-unsplash.jpg,21
8,"Veste Cuir Noir Premium",/Assets/Images/products/product_8_nynne_schroder_li9nxkipbb0_unsplash.jpg,3,kofi-nartey-SHEUuUAZrDE-unsplash.jpg,20.58
8,"Veste Cuir Noir Premium",/Assets/Images/products/product_8_nynne_schroder_li9nxkipbb0_unsplash.jpg,4,luke-peters-rDxfSzXyBqU-unsplash.jpg,20.58
8,"Veste Cuir Noir Premium",/Assets/Images/products/product_8_nynne_schroder_li9nxkipbb0_unsplash.jpg,5,heidi-erickson-CPSjcuuV8E8-unsplash.jpg,20.55
9,"Jeans Slim Bleu D??lav??",/Assets/Images/products/product_9_anna_evans_eelirbjxbpk_unsplash.jpg,1,anna-evans-eELIrBJXBPk-unsplash.jpg,32.48
9,"Jeans Slim Bleu D??lav??",/Assets/Images/products/product_9_anna_evans_eelirbjxbpk_unsplash.jpg,2,panos-katsigiannis--77PEhhPZhE-unsplash.jpg,27.64
9,"Jeans Slim Bleu D??lav??",/Assets/Images/products/product_9_anna_evans_eelirbjxbpk_unsplash.jpg,3,rezwan-ahmed-CXznHE1pKxE-unsplash.jpg,27.07
9,"Jeans Slim Bleu D??lav??",/Assets/Images/products/product_9_anna_evans_eelirbjxbpk_unsplash.jpg,4,manmohan-singh-83aEFVhHbwg-unsplash.jpg,26
9,"Jeans Slim Bleu D??lav??",/Assets/Images/products/product_9_anna_evans_eelirbjxbpk_unsplash.jpg,5,ana-catalina-gzz-oWlB-aOBAnY-unsplash.jpg,25.01
10,"Chemise Oxford Blanche",/Assets/Images/products/product_10_russell_moore_dfk3z6fdn84_unsplash.jpg,1,russell-moore-Dfk3z6fDN84-unsplash.jpg,27.69
